Title,Price,Link
HP Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home/Intel Integrated intel hd) 14-ek1074TU 2...,"₹67,990",https://www.flipkart.com/hp-intel-core-i5-13th-gen-16-gb-512-gb-ssd-windows-11-home-intel-integrated-hd-14-ek1074tu-2-1-gaming-laptop/p/itm703454b323604?pid=COMGU4EGRV4S6EAM&lid=LSTCOMGU4EGRV4S6EAMGY1PAJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_122&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGU4EGRV4S6EAM.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
Apple MacBook Air Apple M3 - (8 GB/256 GB SSD/macOS Sonoma) MRXQ3HN/A,"₹1,07,990",https://www.flipkart.com/apple-macbook-air-m3-8-gb-256-gb-ssd-macos-sonoma-mrxq3hn-a/p/itmada1cc37e9cb4?pid=COMGYP5GGZN7HS3Z&lid=LSTCOMGYP5GGZN7HS3ZPXSOGK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_123&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGYP5GGZN7HS3Z.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
HP 15s Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light L...,"₹50,090",https://www.flipkart.com/hp-15s-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5112tu-thin-light-laptop/p/itmafa17a199da31?pid=COMGG63HWNMXZKDF&lid=LSTCOMGG63HWNMXZKDF1BAEY1&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_124&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGG63HWNMXZKDF.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹33,990",https://www.flipkart.com/asus-vivobook-15-backlit-keyboard-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj321ws-thin-light-laptop/p/itmbe5bbf6a5168b?pid=COMGT2ZXC24MFNFA&lid=LSTCOMGT2ZXC24MFNFAH8MFND&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&otracker1=search&iid=0ac3e949-e4ac-438e-a221-82eb55effa7f.COMGT2ZXC24MFNFA.SEARCH&ssid=2c8rb1hcf40000001733231254535&qH=312f91285e048e09
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Hom...","₹49,890",https://www.flipkart.com/dell-inspiron-15-backlit-keyboard-intel-core-i5-13th-gen-1334u-8-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itmb5933486dc33c?pid=COMHYGBZZNWXZXZE&lid=LSTCOMHYGBZZNWXZXZEWCXLHN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_125&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMHYGBZZNWXZXZE.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,"₹44,990",https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj527ws-x1504za-nj522ws-thin-light-laptop/p/itma8ed81d04b5d4?pid=COMH4Y6KZGGKYCGP&lid=LSTCOMH4Y6KZGGKYCGP6QZMPB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_126&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMH4Y6KZGGKYCGP.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,"₹33,990",https://www.flipkart.com/msi-modern-14-amd-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-c7m-063in-thin-light-laptop/p/itma9abd86c9c099?pid=COMGMV6VHGPAGP55&lid=LSTCOMGMV6VHGPAGP553JIQX6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_127&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGMV6VHGPAGP55.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
"DELL Inspiron 15 3520 with Backlit Keyboard, Intel Core i5 12th Gen Core i5 - (16 GB/512 GB SSD/Window...","₹49,890",https://www.flipkart.com/dell-inspiron-15-3520-backlit-keyboard-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-laptop/p/itm0c93229d052fe?pid=COMGTEGW6HF5GJGQ&lid=LSTCOMGTEGW6HF5GJGQKTQQCM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_128&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGTEGW6HF5GJGQ.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,"₹40,990",https://www.flipkart.com/hp-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-15s-fy5004tu-thin-light-laptop/p/itmbe47c02f8581c?pid=COMGQY48KGHRAF3B&lid=LSTCOMGQY48KGHRAF3BRCYCYH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_129&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGQY48KGHRAF3B.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
HP 245G9 AMD Ryzen 3 Dual Core AMD Ryzen 3 3250U - (8 GB/512 GB SSD/Windows 11 Home) 245 G8 Business L...,"₹25,999",https://www.flipkart.com/hp-245g9-amd-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-245-g8-business-laptop/p/itmf0a680c05d471?pid=COMGHNBG4KF5UYJH&lid=LSTCOMGHNBG4KF5UYJH3HAIIQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_130&otracker=search&otracker1=search&fm=Search&iid=c4c3d006-6f14-4973-a604-e95a4f983681.COMGHNBG4KF5UYJH.SEARCH&ppt=sp&ppn=sp&ssid=fpj4ngkc000000001733231291979&qH=312f91285e048e09
